Wavenumber,220,222,224,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,602,604,606,608,610,612,614,616,618,620,622,624,626,628,630,632,634,636,638,640,642,644,646,648,650,652,654,656,658,660,662,664,666,668,670,672,674,676,678,680,682,684,686,688,690,692,694,696,698,700,702,704,706,708,710,712,714,716,718,720,722,724,726,728,730,732,734,736,738,740,742,744,746,748,750,752,754,756,758,760,762,764,766,768,770,772,774,776,778,780,782,784,786,788,790,792,794,796,798,800
A,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539,2.539
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.209,3.048,3.045,3.143,3.132,3.928,3.965,3.992,3.899,3.696,3.609,3.594,3.8,3.785,3.637,3.451,3.496,3.637,3.367,3.53,3.368,3.404,3.299,3.527,3.404,3.343,3.306,3.463,3.313,3.301,3.135,3.369,3.127,3.306,3.393,3.23,3.128,3.381,3.333,3.064,3.235,3.254,3.251,3.166,3.11,3.265,3.251,3.185,3.277,3.003,3.054,3.278,3.098,3.143,2.954,2.94,3.201,3.096,3.113,3.11,2.97,3.05,2.916,2.783,2.857,3.063,2.758,2.781,2.955,2.706,2.713,2.91,2.788,2.791,2.852,2.882,2.646,2.674,2.964,2.792,2.814,2.736,2.896,2.654,2.961,2.856,2.686,2.76,2.773,2.981,2.734,2.738,2.968,2.936,2.805,2.997,2.984,2.771,2.822,2.687,2.829,2.818,2.787,2.729,2.68,2.629,2.67,2.61,2.493,2.712,2.479,2.664,2.294,2.376,2.495,2.284,2.246,2.274,2.139,2.239,2.301,2.261,2.258,2.029,1.979,2.009,2.259,2.112,2.122,2.194,2.117,1.898,2.078,1.908,2.1,1.864,1.894,1.832,2.047,1.823,1.702,2.027,1.866,1.97,1.917,1.848,1.743,1.721,1.782,1.733,1.592,1.805,1.797,1.611,1.905,1.616,1.746,1.873,1.665,1.554,1.808,1.791,1.754,1.777,1.625,1.562,1.753,1.734,1.592,1.627,1.681,1.771,1.481,1.713,1.402,1.548,1.675,1.388
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.981,3.91,3.802,3.684,3.542,3.414,3.272,3.156,3.047,2.924,2.814,2.701,2.601,2.503,2.428,2.353,2.291,2.234,2.178,2.123,2.08,2.04,2.001,1.975,1.946,1.92,1.901,1.885,1.872,1.859,1.845,1.834,1.821,1.811,1.803,1.796,1.79,1.783,1.777,1.775,1.772,1.771,1.768,1.764,1.761,1.76,1.76,1.758,1.755,1.753,1.752,1.752,1.75,1.749,1.748,1.746,1.746,1.745,1.745,1.744,1.745,1.746,1.748,1.749,1.751,1.754,1.758,1.763,1.766,1.772,1.778,1.783,1.788,1.794,1.802,1.808,1.814,1.82,1.826,1.832,1.837,1.841,1.846,1.85,1.854,1.858,1.863,1.866,1.871,1.875,1.878,1.882,1.884,1.887,1.89,1.89,1.891,1.889,1.886,1.882,1.877,1.873,1.866,1.859,1.851,1.841,1.831,1.821,1.81,1.799,1.789,1.779,1.771,1.762,1.754,1.746,1.738,1.73,1.722,1.715,1.707,1.698,1.691,1.683,1.675,1.667,1.658,1.651,1.643,1.635,1.627,1.62,1.611,1.602,1.59,1.581,1.571,1.561,1.55,1.538,1.525,1.515,1.505,1.496,1.486,1.476,1.466,1.454,1.445,1.434,1.425,1.416,1.406,1.397,1.388,1.38,1.369,1.358,1.345,1.335,1.324,1.312,1.299,1.284,1.267,1.252,1.241,1.234,1.224,1.209,1.195,1.184,1.172
